Time,Displacement,Force,Strain 1
"0.00","0.00","0.1641","0.00002503"
"0.50","0.03","0.6827","0.0002030"
"1.00","0.07","0.9579","0.0003152"
"1.50","0.10","1.129","0.0003917"
"2.00","0.13","1.255","0.0004435"
"2.50","0.17","1.361","0.0004888"
"3.00","0.20","1.452","0.0005157"
"3.50","0.23","1.533","0.0005629"
"4.00","0.27","1.611","0.0005862"
"4.50","0.30","1.687","0.0006194"
"5.00","0.33","1.763","0.0006538"
"5.50","0.37","1.844","0.0006847"
"6.00","0.40","1.926","0.0007167"
"6.50","0.43","2.008","0.0007431"
"7.00","0.47","2.090","0.0007727"
"7.50","0.50","2.172","0.0008205"
"8.00","0.53","2.253","0.0008381"
"8.50","0.57","2.336","0.0008838"
"9.00","0.60","2.420","0.0009322"
"9.50","0.63","2.506","0.0009738"
"10.00","0.67","2.599","0.001011"
"10.50","0.70","2.689","0.001040"
"11.00","0.73","2.779","0.001074"
"11.50","0.77","2.874","0.001113"
"12.00","0.80","2.973","0.001158"
"12.50","0.83","3.072","0.001204"
"13.00","0.87","3.176","0.001241"
"13.50","0.90","3.281","0.001281"
"14.00","0.93","3.390","0.001317"
"14.50","0.97","3.497","0.001356"
"15.00","1.00","3.608","0.001402"
"15.50","1.03","3.721","0.001442"
"16.00","1.07","3.836","0.001479"
"16.50","1.10","3.952","0.001521"
"17.00","1.13","4.072","0.001571"
"17.50","1.17","4.193","0.001609"
"18.00","1.20","4.315","0.001657"
"18.50","1.23","4.440","0.001701"
"19.00","1.27","4.567","0.001743"
"19.50","1.30","4.692","0.001797"
"20.00","1.33","4.822","0.001835"
"20.50","1.37","4.952","0.001886"
"21.00","1.40","5.083","0.001930"
"21.50","1.43","5.217","0.001984"
"22.00","1.47","5.352","0.002032"
"22.50","1.50","5.489","0.002080"
"23.00","1.53","5.626","0.002132"
"23.50","1.57","5.764","0.002190"
"24.00","1.60","5.904","0.002234"
"24.50","1.63","6.045","0.002282"
"25.00","1.67","6.187","0.002328"
"25.50","1.70","6.329","0.002387"
"26.00","1.73","6.476","0.002444"
"26.50","1.77","6.621","0.002494"
"27.00","1.80","6.768","0.002551"
"27.50","1.83","6.918","0.002608"
"28.00","1.87","7.065","0.002665"
"28.50","1.90","7.217","0.002723"
"29.00","1.93","7.366","0.002781"
"29.50","1.97","7.515","0.002828"
"30.00","2.00","7.666","0.002891"
"30.50","2.03","7.819","0.002954"
"31.00","2.07","7.971","0.002999"
"31.50","2.10","8.124","0.003064"
"32.00","2.13","8.278","0.003123"
"32.50","2.17","8.432","0.003171"
"33.00","2.20","8.587","0.003230"
"33.50","2.23","8.741","0.003303"
"34.00","2.27","8.894","0.003363"
"34.50","2.30","9.052","0.003419"
"35.00","2.33","9.205","0.003463"
"35.50","2.37","9.358","0.003524"
"36.00","2.40","9.512","0.003583"
"36.50","2.43","9.670","0.003640"
"37.00","2.47","9.825","0.003709"
"37.50","2.50","9.979","0.003772"
"38.00","2.53","10.13","0.003820"
"38.50","2.57","10.28","0.003874"
"39.00","2.60","10.44","0.003938"
"39.50","2.63","10.59","0.003993"
"40.00","2.67","10.74","0.004050"
"40.50","2.70","10.90","0.004109"
"41.00","2.73","11.05","0.004172"
"41.50","2.77","11.20","0.004232"
"42.00","2.80","11.34","0.004291"
"42.50","2.83","11.49","0.004350"
"43.00","2.87","11.64","0.004418"
"43.50","2.90","11.78","0.004476"
"44.00","2.93","11.93","0.004557"
"44.50","2.97","12.07","0.004635"
"45.00","3.00","12.20","0.004718"
"45.50","3.03","12.34","0.004836"
"46.00","3.07","12.46","0.004974"
"46.50","3.10","12.58","0.005171"
"47.00","3.13","12.67","0.005426"
"47.50","3.17","12.75","0.005775"
"48.00","3.20","12.81","0.006248"
"48.50","3.23","12.85","0.006839"
"49.00","3.27","12.88","0.007531"
"49.50","3.30","12.90","0.008273"
"50.00","3.33","12.92","0.009104"
"50.50","3.37","12.93","0.009980"
"51.00","3.40","12.94","0.01086"
"51.50","3.43","12.96","0.01177"
"52.00","3.47","12.97","0.01268"
"52.50","3.50","12.98","0.01358"
"53.00","3.53","12.99","0.01446"
"53.50","3.57","13.00","0.01534"
"54.00","3.60","13.01","0.01618"
"54.50","3.63","13.02","0.01702"
"55.00","3.67","13.03","0.01785"
"55.50","3.70","13.04","0.01864"
"56.00","3.73","13.05","0.01943"
"56.50","3.77","13.06","0.02021"
"57.00","3.80","13.07","0.02097"
"57.50","3.83","13.09","0.02176"
"58.00","3.87","13.10","0.02253"
"58.50","3.90","13.11","0.02331"
"59.00","3.93","13.12","0.02407"
"59.50","3.97","13.13","0.02484"
"60.00","4.00","13.14","0.02563"
"60.50","4.03","13.15","0.02639"
"61.00","4.07","13.16","0.02716"
"61.50","4.10","13.18","0.02792"
"62.00","4.13","13.19","0.02869"
"62.50","4.17","13.20","0.02945"
"63.00","4.20","13.21","0.03023"
"63.50","4.23","13.22","0.03100"
"64.00","4.27","13.23","0.03178"
"64.50","4.30","13.24","0.03254"
"65.00","4.33","13.25","0.03332"
"65.50","4.37","13.27","0.03409"
"66.00","4.40","13.28","0.03486"
"66.50","4.43","13.29","0.03562"
"67.00","4.47","13.30","0.03640"
"67.50","4.50","13.31","0.03717"
"68.00","4.53","13.32","0.03795"
"68.50","4.57","13.33","0.03872"
"69.00","4.60","13.34","0.03949"
"69.50","4.63","13.35","0.04028"
"70.00","4.67","13.36","0.04105"
"70.50","4.70","13.37","0.04182"
"71.00","4.73","13.38","0.04261"
"71.50","4.77","13.39","0.04338"
"72.00","4.80","13.40","0.04416"
"72.50","4.83","13.41","0.04494"
"73.00","4.87","13.42","0.04573"
"73.50","4.90","13.43","0.04653"
"74.00","4.93","13.44","0.04732"
"74.50","4.97","13.45","0.04810"
"75.00","5.00","13.45","0.04889"
"75.50","5.03","13.46","0.04968"
"76.00","5.07","13.47","0.05050"
"76.50","5.10","13.48","0.05128"
"77.00","5.13","13.49","0.05209"
"77.50","5.17","13.49","0.05290"
"78.00","5.20","13.50","0.05370"
"78.50","5.23","13.51","0.05452"
"79.00","5.27","13.51","0.05532"
"79.50","5.30","13.52","0.05615"
"80.00","5.33","13.53","0.05698"
"80.50","5.37","13.54","0.05779"
"81.00","5.40","13.54","0.05863"
"81.50","5.43","13.55","0.05948"
"82.00","5.47","13.55","0.06031"
"82.50","5.50","13.56","0.06116"
"83.00","5.53","13.56","0.06201"
"83.50","5.57","13.57","0.06287"
"84.00","5.60","13.58","0.06373"
"84.50","5.63","13.58","0.06459"
"85.00","5.67","13.58","0.06548"
"85.50","5.70","13.59","0.06635"
"86.00","5.73","13.59","0.06724"
"86.50","5.77","13.60","0.06814"
"87.00","5.80","13.60","0.06903"
"87.50","5.83","13.60","0.06993"
"88.00","5.87","13.61","0.07085"
"88.50","5.90","13.61","0.07178"
"89.00","5.93","13.62","0.07270"
"89.50","5.97","13.62","0.07365"
"90.00","6.00","13.62","0.07459"
"90.50","6.03","13.62","0.07555"
"91.00","6.07","13.62","0.07652"
"91.50","6.10","13.63","0.07751"
"92.00","6.13","13.63","0.07849"
"92.50","6.17","13.63","0.07949"
"93.00","6.20","13.63","0.08051"
"93.50","6.23","13.63","0.08154"
"94.00","6.27","13.63","0.08258"
"94.50","6.30","13.63","0.08364"
"95.00","6.33","13.63","0.08470"
"95.50","6.37","13.63","0.08579"
"96.00","6.40","13.62","0.08688"
"96.50","6.43","13.62","0.08801"
"97.00","6.47","13.62","0.08912"
"97.50","6.50","13.61","0.09028"
"98.00","6.53","13.61","0.09143"
"98.50","6.57","13.60","0.09262"
"99.00","6.60","13.59","0.09381"
"99.50","6.63","13.59","0.09502"
"100.00","6.67","13.58","0.09625"
"100.50","6.70","13.57","0.09747"
"101.00","6.73","13.56","0.09873"
"101.50","6.77","13.54","0.09999"
"102.00","6.80","13.53","0.1013"
"102.50","6.83","13.51","0.1026"
"103.00","6.87","13.50","0.1038"
"103.50","6.90","13.47","0.1052"
"104.00","6.93","13.46","0.1065"
"104.50","6.97","13.43","0.1078"
"105.00","7.00","13.41","0.1091"
"105.50","7.03","13.39","0.1104"
"106.00","7.07","13.36","0.1118"
"106.50","7.10","13.33","0.1131"
"107.00","7.13","13.30","0.1144"
"107.50","7.17","13.27","0.1158"
"108.00","7.20","13.24","0.1171"
"108.50","7.23","13.21","0.1185"
"109.00","7.27","13.18","0.1198"
"109.50","7.30","13.14","0.1212"
"110.00","7.33","13.11","0.1226"
"110.50","7.37","13.07","0.1239"
"111.00","7.40","13.03","0.1253"
"111.50","7.43","12.99","0.1266"
"112.00","7.47","12.95","0.1280"
"112.50","7.50","12.91","0.1294"
"113.00","7.53","12.87","0.1307"
"113.50","7.57","12.83","0.1321"
"114.00","7.60","12.78","0.1335"
"114.50","7.63","12.74","0.1349"
"115.00","7.67","12.69","0.1363"
"115.50","7.70","12.65","0.1377"
"116.00","7.73","12.60","0.1390"
"116.50","7.77","12.55","0.1404"
"117.00","7.80","12.50","0.1418"
"117.50","7.83","12.45","0.1432"
"118.00","7.87","12.40","0.1446"
"118.50","7.90","12.35","0.1460"
"119.00","7.93","12.29","0.1474"
"119.50","7.97","12.24","0.1488"
"120.00","8.00","12.18","0.1502"
"120.50","8.03","12.13","0.1516"
"121.00","8.07","12.07","0.1530"
"121.50","8.10","12.01","0.1544"
"122.00","8.13","11.95","0.1558"
"122.50","8.17","11.89","0.1572"
"123.00","8.20","11.83","0.1586"
"123.50","8.23","11.77","0.1600"
"124.00","8.27","11.70","0.1614"
"124.50","8.30","11.64","0.1628"
"125.00","8.33","11.57","0.1642"
"125.50","8.37","11.51","0.1656"
"126.00","8.40","11.44","0.1671"
"126.50","8.43","11.37","0.1685"
"127.00","8.47","11.30","0.1699"
"127.50","8.50","11.23","0.1713"
"128.00","8.53","11.16","0.1728"
"128.50","8.57","11.08","0.1742"
"129.00","8.60","11.01","0.1756"
"129.50","8.63","10.93","0.1771"
"130.00","8.67","10.85","0.1785"
"130.50","8.70","10.77","0.1799"
"131.00","8.73","10.69","0.1814"
"131.50","8.77","10.61","0.1828"
