Time,Displacement,Force,Strain 1
"0.00","0.00","0.01518","-0.00009857"
"0.50","0.03","0.08864","-0.00001739"
"1.00","0.07","0.1607","-0.00001012"
"1.50","0.10","0.2276","0.0001116"
"2.00","0.13","0.2920","0.00001703"
"2.50","0.17","0.3538","-0.00008662"
"3.00","0.20","0.4125","-0.00001740"
"3.50","0.23","0.4688","-0.0001535"
"4.00","0.27","0.5221","-0.00005709"
"4.50","0.30","0.5704","0.00002590"
"5.00","0.33","0.6144","0.0001260"
"5.50","0.37","0.6539","0.0001228"
"6.00","0.40","0.6880","0.00006627"
"6.50","0.43","0.7136","-0.0001349"
"7.00","0.47","0.7314","-0.00009503"
"7.50","0.50","0.7426","0.00005794"
"8.00","0.53","0.7504","0.00007455"
"8.50","0.57","0.7572","0.00008909"
"9.00","0.60","0.7632","0.00004927"
"9.50","0.63","0.7689","-0.000001148"
"10.00","0.67","0.7740","-0.00007784"
"10.50","0.70","0.7789","-0.00001004"
"11.00","0.73","0.7833","0.00005046"
"11.50","0.77","0.7870","0.00005157"
"12.00","0.80","0.7921","0.00004028"
"12.50","0.83","0.7944","-0.00009385"
"13.00","0.87","0.7961","-0.00003070"
"13.50","0.90","0.7984","0.0001270"
"14.00","0.93","0.7999","-0.00007441"
"14.50","0.97","0.8003","-0.00008052"
"15.00","1.00","0.8001","0.000004500"
"15.50","1.03","0.8002","0.00002735"
"16.00","1.07","0.7987","0.00003440"
"16.50","1.10","0.7970","-0.00001021"
"17.00","1.13","0.7967","-0.00003280"
"17.50","1.17","0.7947","-0.00003437"
"18.00","1.20","0.7929","0.00001792"
"18.50","1.23","0.7913","0.00001497"
"19.00","1.27","0.7884","0.00006532"
"19.50","1.30","0.7860","-0.000009353"
"20.00","1.33","0.7842","-0.00004352"
"20.50","1.37","0.7811","-0.00003110"
"21.00","1.40","0.7773","0.00008632"
"21.50","1.43","0.7739","0.00002771"
"22.00","1.47","0.7709","0.000007818"
"22.50","1.50","0.7683","0.00002951"
"23.00","1.53","0.7660","0.00005572"
"23.50","1.57","0.7631","0.00003576"
"24.00","1.60","0.7604","-0.00005428"
"24.50","1.63","0.7564","0.0001166"
"25.00","1.67","0.7517","-0.00001932"
"25.50","1.70","0.7481","-0.0001478"
"26.00","1.73","0.7436","-0.00004352"
"26.50","1.77","0.7376","0.000009913"
"27.00","1.80","0.7321","0.00001824"
"27.41","1.83","0.7277","-0.00005729"

